Year,delay_days,patients
2021,0,43
2021,1,21
2021,2,32
2021,3,98
2021,4,266
2021,5,182
2021,6,152
2021,7,97
2021,8,64
2021,9,37
2021,10,19
2021,11,16
2021,12,14
2021,13,10
2021,14,7
2021,15,4
2021,16,2
2021,17,1
2021,18,1
2021,20,1
2021,23,2
2021,25,1
2021,35,1
2021,36,1
2022,0,35
2022,1,65
2022,2,303
2022,3,593
2022,4,444
2022,5,292
2022,6,199
2022,7,120
2022,8,59
2022,9,24
2022,10,12
2022,11,8
2022,12,6
2022,13,4
2022,14,1
2022,15,5
2022,16,1
2022,17,1
2022,18,1
2022,19,1
2022,21,2
2022,28,1
2022,36,1
2023,0,88
2023,1,150
2023,2,77
2023,3,138
2023,4,145
2023,5,105
2023,6,59
2023,7,41
2023,8,23
2023,9,8
2023,10,5
2023,11,1
2023,13,1
2023,23,1
2023,32,1
2023,34,1
2024,0,47
2024,1,129
2024,2,198
2024,3,422
2024,4,861
2024,5,1242
2024,6,732
2024,7,379
2024,8,195
2024,9,65
2024,10,18
2024,11,18
2024,12,8
2024,13,5
2024,14,5
2024,15,4
2024,17,3
2024,18,3
2024,21,1
2024,27,1
2024,32,1
2024,35,1
2025,7,1
