UC_name,neighbour
Gulistan Colony,Dhaman Syedan
Gulistan Colony,KARTARPURA
Gulistan Colony,KHURRAM COLONY
Gulistan Colony,KOTHA KALAN
Gulistan Colony,MORGAH
Gulistan Colony,MUSLIM TOWN (WEST)
Gulistan Colony,TAKHT PARI
KHANA DAK,BANGISH COLONY
KHANA DAK,CHAK JALAL DIN
KHANA DAK,DHOK HASSU(NORTH)
KHANA DAK,DHOK MANGTAL
KHANA DAK,DHOK RATTA
KHANA DAK,Dhaman Syedan
KHANA DAK,Dhamial
KHANA DAK,FAUJI COLONY
KHANA DAK,HAZARA COLONY
KHANA DAK,Jhanda Chichi
KHANA DAK,LAKKHAN
Khurram Colony,BANNI
Khurram Colony,DHOK ALI AKBAR
Khurram Colony,DHOK FARMAN ALI
Khurram Colony,DHOK KHABBA
Khurram Colony,DHOK MUNSHI KHAN
Khurram Colony,MILLAT COLONY
Khurram Colony,MUHALLA AMAMBARA
Khurram Colony,RAWALPINDI CANTT-8
DHOK MUNSHI KHAN,BANNI
DHOK MUNSHI KHAN,GANGAL
DHOK MUNSHI KHAN,KOTHA KALAN
DHOK MUNSHI KHAN,Khurram Colony
DHOK MUNSHI KHAN,MILLAT COLONY
KOTHA KALAN,BANNI
KOTHA KALAN,DHOK MUNSHI KHAN
KOTHA KALAN,GANGAL
KOTHA KALAN,Gulistan Colony
KOTHA KALAN,KARTARPURA
MORGAH,Dhaman Syedan
MORGAH,Gulistan Colony
MORGAH,TAKHT PARI
Adiala,CHAHAN
Adiala,Chauntra
Adiala,Chhappar
Adiala,Dhaman Syedan
Adiala,Dhamial
Adiala,RANIAL
Dhaman Syedan,Adiala
Dhaman Syedan,Chhappar
Dhaman Syedan,Dhamial
Dhaman Syedan,Gulistan Colony
Dhaman Syedan,Jhanda Chichi
Dhaman Syedan,KHANA DAK
Dhaman Syedan,KHURRAM COLONY
Dhaman Syedan,MORGAH
Dhaman Syedan,TAKHT PARI
Dhamial,Adiala
Dhamial,Dhaman Syedan
Dhamial,KHANA DAK
Dhamial,LAKKHAN
Dhamial,RANIAL
LAKKHAN,CHAK JALAL DIN
LAKKHAN,Dhamial
LAKKHAN,Dhoke Mangtal
LAKKHAN,KHANA DAK
LAKKHAN,RANIAL
CHAK JALAL DIN,DHOK RATTA
CHAK JALAL DIN,Dhoke Mangtal
CHAK JALAL DIN,HAZARA COLONY
CHAK JALAL DIN,KHANA DAK
CHAK JALAL DIN,LAKKHAN
CHAK JALAL DIN,RAWALPINDI CANTT-1
Dhoke Mangtal,ASGHAR MALL SCHEME
Dhoke Mangtal,BAJNIAL
Dhoke Mangtal,CHAK JALAL DIN
Dhoke Mangtal,DHOK DALAL
Dhoke Mangtal,GANJ MANDI
Dhoke Mangtal,LAKKHAN
Dhoke Mangtal,MOHANPURA
Dhoke Mangtal,Purana Qila
Dhoke Mangtal,RANIAL
Dhoke Mangtal,RATTA AMRAL
Dhoke Mangtal,RAWALPINDI CANTT-1
Dhoke Mangtal,RAWALPINDI CANTT-2
Dhoke Mangtal,RAWALPINDI CANTT-9
Dhoke Mangtal,Waris Khan
BAJNIAL,CHAHAN
BAJNIAL,Dhoke Mangtal
BAJNIAL,RANIAL
RANIAL,Adiala
RANIAL,BAJNIAL
RANIAL,CHAHAN
RANIAL,Dhamial
RANIAL,Dhoke Mangtal
RANIAL,LAKKHAN
CHAHAN,Adiala
CHAHAN,BAJNIAL
CHAHAN,Chauntra
CHAHAN,RANIAL
CHAHAN,SEHAL
SEHAL,CHAHAN
SEHAL,Chauntra
SEHAL,Gaggan
SEHAL,Kolian Hamid
Kolian Hamid,Chakri
Kolian Hamid,Gaggan
Kolian Hamid,SEHAL
Chakri,Gaggan
Chakri,Kolian Hamid
Chakri,PARIAL
PARIAL,Chakri
PARIAL,Gaggan
PARIAL,RAIKA MAIRA
RAIKA MAIRA,CHAK BELI KHAN
RAIKA MAIRA,Gaggan
RAIKA MAIRA,PARIAL
CHAK BELI KHAN,Chauntra
CHAK BELI KHAN,Gaggan
CHAK BELI KHAN,RAIKA MAIRA
Gaggan,CHAK BELI KHAN
Gaggan,Chakri
Gaggan,Chauntra
Gaggan,Kolian Hamid
Gaggan,PARIAL
Gaggan,RAIKA MAIRA
Gaggan,SEHAL
Chauntra,Adiala
Chauntra,BANDA
Chauntra,CHAHAN
Chauntra,CHAK BELI KHAN
Chauntra,Chhappar
Chauntra,Gaggan
Chauntra,SEHAL
BANDA,BASALI
BANDA,Chauntra
BANDA,Chhappar
Chhappar,Adiala
Chhappar,BANDA
Chhappar,BASALI
Chhappar,Chauntra
Chhappar,Dhaman Syedan
Chhappar,TAKHT PARI
BASALI,BAGGA SHEIKHAN
BASALI,BANDA
BASALI,Chhappar
BASALI,TAKHT PARI
TAKHT PARI,BAGGA SHEIKHAN
TAKHT PARI,BASALI
TAKHT PARI,Chhappar
TAKHT PARI,Dhaman Syedan
TAKHT PARI,Gulistan Colony
TAKHT PARI,LOHDRA
TAKHT PARI,MORGAH
BAGGA SHEIKHAN,BASALI
BAGGA SHEIKHAN,LOHDRA
BAGGA SHEIKHAN,SAGRI KALAN
BAGGA SHEIKHAN,TAKHT PARI
LOHDRA,107 UC
LOHDRA,BAGGA SHEIKHAN
LOHDRA,SAGRI KALAN
LOHDRA,TAKHT PARI
SAGRI KALAN,107 UC
SAGRI KALAN,BAGGA SHEIKHAN
SAGRI KALAN,LOHDRA
107 UC,LOHDRA
107 UC,SAGRI KALAN
GANGAL,CITY-46
GANGAL,DHOK MUNSHI KHAN
GANGAL,KOTHA KALAN
GANGAL,MILLAT COLONY
RATTA AMRAL,Dhoke Mangtal
RATTA AMRAL,RAWALPINDI CANTT-1
DHOK RATTA,CHAK JALAL DIN
DHOK RATTA,DHOK HASSU(NORTH)
DHOK RATTA,DHOK HASSU(SOUTH)
DHOK RATTA,HAZARA COLONY
DHOK RATTA,KHANA DAK
DHOK RATTA,KHYBAN SIR SYED(NORTH)
HAZARA COLONY,CHAK JALAL DIN
HAZARA COLONY,DHOK HASSU(SOUTH)
HAZARA COLONY,DHOK RATTA
HAZARA COLONY,KHANA DAK
HAZARA COLONY,KHYBAN SIR SYED(NORTH)
HAZARA COLONY,RAWALPINDI CANTT-1
DHOK MANGTAL,BANGISH COLONY
DHOK MANGTAL,DHOK HASSU(NORTH)
