Year,Week,UC_name,cases,week_start
2021,1,107 UC,0,2021-01-04
2021,2,107 UC,0,2021-01-11
2021,3,107 UC,0,2021-01-18
2021,4,107 UC,0,2021-01-25
2021,5,107 UC,0,2021-02-01
2021,6,107 UC,0,2021-02-08
2021,7,107 UC,0,2021-02-15
2021,8,107 UC,0,2021-02-22
2021,9,107 UC,0,2021-03-01
2021,10,107 UC,0,2021-03-08
2021,11,107 UC,0,2021-03-15
2021,12,107 UC,0,2021-03-22
2021,13,107 UC,0,2021-03-29
2021,14,107 UC,0,2021-04-05
2021,15,107 UC,0,2021-04-12
2021,16,107 UC,0,2021-04-19
2021,17,107 UC,0,2021-04-26
2021,18,107 UC,0,2021-05-03
2021,19,107 UC,0,2021-05-10
2021,20,107 UC,0,2021-05-17
2021,21,107 UC,0,2021-05-24
2021,22,107 UC,0,2021-05-31
2021,23,107 UC,0,2021-06-07
2021,24,107 UC,0,2021-06-14
2021,25,107 UC,0,2021-06-21
2021,26,107 UC,0,2021-06-28
2021,27,107 UC,0,2021-07-05
2021,28,107 UC,0,2021-07-12
2021,29,107 UC,0,2021-07-19
2021,30,107 UC,0,2021-07-26
2021,31,107 UC,0,2021-08-02
2021,32,107 UC,0,2021-08-09
2021,33,107 UC,0,2021-08-16
2021,34,107 UC,0,2021-08-23
2021,35,107 UC,0,2021-08-30
2021,36,107 UC,0,2021-09-06
2021,37,107 UC,0,2021-09-13
2021,38,107 UC,0,2021-09-20
2021,39,107 UC,0,2021-09-27
2021,40,107 UC,0,2021-10-04
2021,41,107 UC,0,2021-10-11
2021,42,107 UC,0,2021-10-18
2021,43,107 UC,1,2021-10-25
2021,44,107 UC,0,2021-11-01
2021,45,107 UC,0,2021-11-08
2021,46,107 UC,0,2021-11-15
2021,47,107 UC,0,2021-11-22
2021,48,107 UC,0,2021-11-29
2021,49,107 UC,0,2021-12-06
2021,50,107 UC,0,2021-12-13
2021,51,107 UC,0,2021-12-20
2021,52,107 UC,0,2021-12-27
2022,1,107 UC,0,2022-01-03
2022,2,107 UC,0,2022-01-10
2022,3,107 UC,0,2022-01-17
2022,4,107 UC,0,2022-01-24
2022,5,107 UC,0,2022-01-31
2022,6,107 UC,0,2022-02-07
2022,7,107 UC,0,2022-02-14
2022,8,107 UC,0,2022-02-21
2022,9,107 UC,0,2022-02-28
