feature,gain,fold
own_roll2,883.1109008789062,test 2023
own_lag1,412.801025390625,test 2023
own_roll4,38.386756896972656,test 2023
nb_sum1,33.91391372680664,test 2023
city_lag1,31.82819175720215,test 2023
week_sin,25.982519149780273,test 2023
nb_mean1,21.938913345336914,test 2023
uc_burden,20.709138870239258,test 2023
week_cos,17.139854431152344,test 2023
temp_mean_lag4,13.967582702636719,test 2023
rain_c8,13.12113094329834,test 2023
rain_days_lag6,10.94320297241211,test 2023
Week,10.3583345413208,test 2023
temp_mean_lag6,9.6012544631958,test 2023
city_lag2,8.726040840148926,test 2023
temp_mean,8.149277687072754,test 2023
temp_mean_lag2,7.467189788818359,test 2023
humidity,6.604068279266357,test 2023
rain_lag4,5.881598472595215,test 2023
own_lag4,5.679728984832764,test 2023
rain,5.663566589355469,test 2023
own_lag3,5.518749237060547,test 2023
own_lag2,5.4417219161987305,test 2023
own_roll8,5.296153545379639,test 2023
humidity_lag2,5.2699666023254395,test 2023
rain_days_lag4,5.149966716766357,test 2023
own_delta,5.050111293792725,test 2023
humidity_lag6,4.8593950271606445,test 2023
rain_lag6,4.752570629119873,test 2023
temp_mean_lag8,4.625862121582031,test 2023
humidity_lag4,4.239496231079102,test 2023
nb_max1,4.174903392791748,test 2023
humidity_lag8,3.8445756435394287,test 2023
city_roll4,3.8051908016204834,test 2023
nb_delta,3.3049721717834473,test 2023
nb_mean2,3.28609037399292,test 2023
rain_days_lag8,3.0961105823516846,test 2023
rain_lag8,2.909069299697876,test 2023
nb_max2,2.8888700008392334,test 2023
rain_lag2,2.777256727218628,test 2023
nb_sum2,2.7372922897338867,test 2023
rain_days_lag2,2.4691038131713867,test 2023
own_roll2,1089.0206298828125,test 2024
own_lag1,503.65826416015625,test 2024
own_roll4,57.61725616455078,test 2024
nb_sum1,56.733760833740234,test 2024
week_sin,33.53175735473633,test 2024
nb_mean1,28.59284019470215,test 2024
city_lag1,26.276994705200195,test 2024
uc_burden,21.846769332885742,test 2024
rain_c8,19.56023406982422,test 2024
own_lag2,17.509502410888672,test 2024
temp_mean,14.37747859954834,test 2024
week_cos,13.525192260742188,test 2024
rain_days_lag6,12.286124229431152,test 2024
temp_mean_lag4,11.375204086303711,test 2024
humidity_lag2,10.14560604095459,test 2024
temp_mean_lag2,9.293495178222656,test 2024
humidity_lag6,9.128451347351074,test 2024
temp_mean_lag6,8.762921333312988,test 2024
humidity,8.186431884765625,test 2024
city_lag2,7.603672504425049,test 2024
city_roll4,7.415228843688965,test 2024
rain_lag4,7.283705711364746,test 2024
rain,7.07680082321167,test 2024
rain_days_lag2,6.35198974609375,test 2024
Week,6.050523281097412,test 2024
rain_lag2,5.8146562576293945,test 2024
humidity_lag4,5.667492389678955,test 2024
own_lag3,5.517993450164795,test 2024
own_roll8,5.461705207824707,test 2024
own_delta,5.098428249359131,test 2024
own_lag4,4.983741760253906,test 2024
temp_mean_lag8,4.889371395111084,test 2024
nb_delta,4.522339344024658,test 2024
nb_max2,4.3147053718566895,test 2024
nb_mean2,3.885038137435913,test 2024
rain_days_lag4,3.8653619289398193,test 2024
rain_lag6,3.8518896102905273,test 2024
humidity_lag8,3.6805269718170166,test 2024
rain_lag8,3.5694234371185303,test 2024
nb_sum2,3.516761541366577,test 2024
nb_max1,3.251762628555298,test 2024
rain_days_lag8,2.3345165252685547,test 2024
