year,space_m,time_days,pairs,space_pairs,observed,expected,ratio,excess_pairs,p_value
2021,100,7,all,1824,688,456.0,1.5089,232,0.002
2021,100,7,distinct,1821,687,454.9,1.5103,232,0.002
2021,100,14,all,1824,1109,840.8,1.319,268,0.002
2021,100,14,distinct,1821,1106,836.9,1.3215,269,0.002
2021,200,7,all,6040,1980,1509.7,1.3115,470,0.002
2021,200,7,distinct,6037,1979,1506.1,1.314,472,0.002
2021,200,14,all,6040,3409,2780.6,1.226,628,0.002
2021,200,14,distinct,6037,3406,2777.6,1.2263,628,0.002
2021,500,7,all,26975,7691,6737.5,1.1415,953,0.002
2021,500,7,distinct,26972,7690,6733.8,1.142,956,0.002
2021,500,14,all,26975,13841,12410.9,1.1152,1430,0.002
2021,500,14,distinct,26972,13838,12402.9,1.1157,1435,0.002
2021,1000,7,all,78486,21168,19607.9,1.0796,1560,0.002
2021,1000,7,distinct,78483,21167,19593.0,1.0803,1573,0.002
2021,1000,14,all,78486,38548,36098.3,1.0679,2449,0.002
2021,1000,14,distinct,78483,38545,36116.1,1.0673,2428,0.002
2021,2000,7,all,229934,60170,57445.0,1.0474,2725,0.002
2021,2000,7,distinct,229931,60169,57413.1,1.048,2755,0.002
2021,2000,14,all,229934,110031,105777.9,1.0402,4253,0.002
2021,2000,14,distinct,229931,110028,105790.8,1.0401,4237,0.002
2022,100,7,all,5254,2033,988.9,2.0559,1044,0.002
2022,100,7,distinct,5234,2018,982.0,2.0549,1035,0.002
2022,100,14,all,5254,3058,1853.0,1.6503,1205,0.002
2022,100,14,distinct,5234,3041,1848.5,1.6451,1192,0.002
2022,200,7,all,16989,5315,3193.2,1.6644,2121,0.002
2022,200,7,distinct,16969,5300,3183.8,1.6647,2116,0.002
2022,200,14,all,16989,8752,5992.1,1.4606,2759,0.002
2022,200,14,distinct,16969,8735,5988.9,1.4585,2746,0.002
2022,500,7,all,82627,21183,15529.6,1.364,5653,0.002
2022,500,7,distinct,82607,21168,15530.8,1.363,5637,0.002
2022,500,14,all,82627,37980,29145.7,1.3031,8834,0.002
2022,500,14,distinct,82607,37963,29157.0,1.302,8806,0.002
2022,1000,7,all,263339,61934,49506.3,1.251,12427,0.002
2022,1000,7,distinct,263319,61919,49438.7,1.2524,12480,0.002
2022,1000,14,all,263339,113190,92924.7,1.2181,20265,0.002
2022,1000,14,distinct,263319,113173,92937.5,1.2177,20235,0.002
2022,2000,7,all,787957,164850,148047.0,1.1135,16803,0.002
2022,2000,7,distinct,787937,164835,148048.8,1.1134,16786,0.002
2022,2000,14,all,787957,306597,277947.3,1.1031,28649,0.002
2022,2000,14,distinct,787937,306580,277883.4,1.1033,28696,0.002
2023,100,7,all,1622,570,291.2,1.9577,278,0.002
2023,100,7,distinct,1613,564,289.2,1.9503,274,0.002
2023,100,14,all,1622,829,543.1,1.5265,285,0.002
2023,100,14,distinct,1613,823,540.3,1.5232,282,0.002
2023,200,7,all,5170,1531,926.1,1.6532,604,0.002
2023,200,7,distinct,5161,1525,923.2,1.6518,601,0.002
2023,200,14,all,5170,2503,1730.2,1.4466,772,0.002
2023,200,14,distinct,5161,2497,1726.1,1.4466,770,0.002
2023,500,7,all,24002,5839,4297.1,1.3588,1541,0.002
2023,500,7,distinct,23993,5833,4299.9,1.3565,1533,0.002
2023,500,14,all,24002,10360,8030.1,1.2901,2329,0.002
2023,500,14,distinct,23993,10354,8037.6,1.2882,2316,0.002
2023,1000,7,all,72514,16304,13001.3,1.254,3302,0.002
2023,1000,7,distinct,72505,16298,12996.9,1.254,3301,0.002
2023,1000,14,all,72514,29765,24266.3,1.2266,5498,0.002
2023,1000,14,distinct,72505,29759,24240.5,1.2277,5518,0.002
2023,2000,7,all,206604,41846,36966.9,1.132,4879,0.002
2023,2000,7,distinct,206595,41840,36967.5,1.1318,4872,0.002
2023,2000,14,all,206604,77555,69163.1,1.1213,8391,0.002
2023,2000,14,distinct,206595,77549,69101.5,1.1222,8447,0.002
2024,100,7,all,7705,2803,1673.5,1.6749,1129,0.002
2024,100,7,distinct,7680,2783,1669.6,1.6669,1113,0.002
2024,100,14,all,7705,4323,3105.4,1.3921,1217,0.002
2024,100,14,distinct,7680,4301,3089.0,1.3924,1212,0.002
2024,200,7,all,25686,7832,5584.8,1.4024,2247,0.002
2024,200,7,distinct,25661,7812,5583.4,1.3991,2228,0.002
2024,200,14,all,25686,13210,10332.6,1.2785,2877,0.002
2024,200,14,distinct,25661,13188,10330.0,1.2767,2857,0.002
2024,500,7,all,121498,32062,26407.2,1.2141,5654,0.002
2024,500,7,distinct,121473,32042,26415.8,1.213,5626,0.002
2024,500,14,all,121498,57017,48899.3,1.166,8117,0.002
2024,500,14,distinct,121473,56995,48884.6,1.1659,8110,0.002
2024,1000,7,all,379295,92681,82446.6,1.1241,10234,0.002
2024,1000,7,distinct,379270,92661,82434.5,1.1241,10226,0.002
2024,1000,14,all,379295,168220,152582.2,1.1025,15637,0.002
2024,1000,14,distinct,379270,168198,152587.1,1.1023,15610,0.002
2024,2000,7,all,1128666,257837,245406.7,1.0507,12430,0.002
2024,2000,7,distinct,1128641,257817,245382.6,1.0507,12434,0.002
2024,2000,14,all,1128666,471837,453907.7,1.0395,17929,0.002
2024,2000,14,distinct,1128641,471815,454202.5,1.0388,17612,0.002
