year,week,cases_this_week,cases_next_week,caught,pct_caught,area_km2,radius_m
2021,35,2,5,0,0.0,0.063,100
2021,36,5,19,0,0.0,0.157,100
2021,37,19,74,4,5.4,0.592,100
2021,38,74,181,18,9.9,2.228,100
2021,39,181,228,57,25.0,4.607,100
2021,40,228,342,77,22.5,5.989,100
2021,41,342,284,71,25.0,8.813,100
2021,42,284,349,59,16.9,7.811,100
2021,43,349,274,56,20.4,9.588,100
2021,44,274,146,18,12.3,7.661,100
2021,45,146,106,10,9.4,4.391,100
2021,46,106,58,3,5.2,3.076,100
2021,47,58,11,0,0.0,1.796,100
2021,48,11,5,0,0.0,0.345,100
2021,49,5,4,0,0.0,0.157,100
2022,28,2,4,0,0.0,0.063,100
2022,29,4,7,1,14.3,0.071,100
2022,30,7,15,0,0.0,0.202,100
2022,31,15,32,6,18.8,0.432,100
2022,32,32,81,6,7.4,0.78,100
2022,33,81,170,37,21.8,2.075,100
2022,34,170,193,62,32.1,4.144,100
2022,35,193,265,58,21.9,4.884,100
2022,36,265,428,63,14.7,6.417,100
2022,37,428,484,117,24.2,10.455,100
2022,38,484,554,117,21.1,12.262,100
2022,39,554,558,127,22.8,13.622,100
2022,40,558,576,98,17.0,13.547,100
2022,41,576,324,65,20.1,14.652,100
2022,42,324,304,62,20.4,9.06,100
2022,43,304,205,30,14.6,7.95,100
2022,44,205,140,14,10.0,5.591,100
2022,45,140,69,6,8.7,3.843,100
2022,46,69,28,4,14.3,2.038,100
2022,47,28,17,0,0.0,0.863,100
2022,48,17,2,0,0.0,0.504,100
2022,49,2,3,0,0.0,0.063,100
2023,26,1,2,0,0.0,0.031,100
2023,27,2,2,0,0.0,0.063,100
2023,28,2,3,0,0.0,0.063,100
2023,29,3,7,2,28.6,0.094,100
2023,30,7,16,1,6.2,0.181,100
2023,31,16,12,1,8.3,0.466,100
2023,32,12,22,2,9.1,0.347,100
2023,33,22,28,2,7.1,0.622,100
2023,34,28,53,3,5.7,0.878,100
2023,35,53,95,13,13.7,1.327,100
2023,36,95,150,33,22.0,2.525,100
2023,37,150,186,39,21.0,3.766,100
2023,38,186,207,46,22.2,4.905,100
2023,39,207,259,37,14.3,5.366,100
2023,40,259,172,26,15.1,6.8,100
2023,41,172,134,19,14.2,4.857,100
2023,42,134,110,5,4.5,3.871,100
2023,43,110,97,21,21.6,3.201,100
2023,44,97,96,10,10.4,2.628,100
2023,45,96,53,9,17.0,2.598,100
2023,46,53,18,2,11.1,1.548,100
2023,47,18,24,0,0.0,0.565,100
2023,48,24,6,0,0.0,0.741,100
2023,49,6,2,0,0.0,0.188,100
2024,26,3,2,0,0.0,0.063,100
2024,27,2,2,0,0.0,0.063,100
2024,30,1,2,0,0.0,0.031,100
2024,31,2,1,0,0.0,0.063,100
2024,32,1,8,0,0.0,0.031,100
2024,33,8,7,0,0.0,0.25,100
2024,34,7,17,0,0.0,0.192,100
2024,35,17,47,3,6.4,0.498,100
2024,36,47,107,7,6.5,1.39,100
2024,37,107,240,20,8.3,2.962,100
2024,38,240,440,77,17.5,5.918,100
2024,39,440,690,160,23.2,10.381,100
2024,40,690,728,220,30.2,15.448,100
2024,41,728,626,165,26.4,17.097,100
2024,42,626,664,133,20.0,15.75,100
2024,43,664,775,197,25.4,17.433,100
2024,44,775,523,125,23.9,19.294,100
2024,45,523,350,67,19.1,13.95,100
2024,46,350,177,19,10.7,9.584,100
2024,47,177,61,5,8.2,5.227,100
2024,48,61,26,5,19.2,1.864,100
2024,49,26,9,1,11.1,0.777,100
2021,35,2,5,0,0.0,0.251,200
2021,36,5,19,0,0.0,0.627,200
2021,37,19,74,7,9.5,2.318,200
2021,38,74,181,46,25.4,8.024,200
2021,39,181,228,107,46.9,15.038,200
2021,40,228,342,157,45.9,19.175,200
2021,41,342,284,128,45.1,28.306,200
