week_start,Year,Week,cases,morans_I,p_value
2021-09-13,2021,37,17,0.0776515782063527,0.17
2021-09-20,2021,38,67,0.04495751503774741,0.43
2021-09-27,2021,39,167,0.282938321016991,0.005
2021-10-04,2021,40,216,0.327982295647193,0.005
2021-10-11,2021,41,314,0.297863106184154,0.005
2021-10-18,2021,42,253,0.2438730839130691,0.005
2021-10-25,2021,43,326,0.40120884369120974,0.005
2021-11-01,2021,44,255,0.24937863379145175,0.005
2021-11-08,2021,45,128,0.2949400875827729,0.005
2021-11-15,2021,46,99,0.30543335940502336,0.005
2021-11-22,2021,47,54,0.1954167424157971,0.005
2021-11-29,2021,48,10,0.004799015380686395,0.97
2021-12-06,2021,49,5,0.07302725968436158,0.145
2022-07-25,2022,30,5,0.07765635898628227,0.09
2022-08-01,2022,31,8,0.15326142273782753,0.02
2022-08-08,2022,32,30,0.31679054061536455,0.005
2022-08-15,2022,33,77,0.36908956846731206,0.005
2022-08-22,2022,34,149,0.3247150050604866,0.005
2022-08-29,2022,35,168,0.3729626221872296,0.005
2022-09-05,2022,36,244,0.25762636892212926,0.005
2022-09-12,2022,37,395,0.42731756445648067,0.005
2022-09-19,2022,38,441,0.4178505277936674,0.005
2022-09-26,2022,39,513,0.41075206131052555,0.005
2022-10-03,2022,40,508,0.43494282247049476,0.005
2022-10-10,2022,41,531,0.37706142229485407,0.005
2022-10-17,2022,42,292,0.3860347450342087,0.005
2022-10-24,2022,43,283,0.33620821271218226,0.005
2022-10-31,2022,44,189,0.3296628627847861,0.005
2022-11-07,2022,45,128,0.27729746485159423,0.01
2022-11-14,2022,46,65,0.3070888176355533,0.005
2022-11-21,2022,47,27,0.15220063090655572,0.01
2022-11-28,2022,48,15,-0.0020545452228992404,0.99
2023-07-24,2023,30,7,-0.042433935799421334,0.455
2023-07-31,2023,31,14,0.04303098120150241,0.44
2023-08-07,2023,32,10,-0.01980571133280119,0.79
2023-08-14,2023,33,18,0.14473795658040178,0.015
2023-08-21,2023,34,27,0.08455938365310292,0.175
2023-08-28,2023,35,52,0.1472700774419171,0.02
2023-09-04,2023,36,89,0.09181087593933138,0.145
2023-09-11,2023,37,138,0.3649444669974457,0.005
2023-09-18,2023,38,168,0.2752838809565753,0.005
2023-09-25,2023,39,194,0.4158661810367013,0.005
2023-10-02,2023,40,233,0.3889153308606275,0.005
2023-10-09,2023,41,159,0.39396841638621977,0.005
2023-10-16,2023,42,124,0.3670064104131255,0.005
2023-10-23,2023,43,103,0.35603928091492776,0.005
2023-10-30,2023,44,91,0.33698827124453673,0.005
2023-11-06,2023,45,89,0.3288926523034847,0.005
2023-11-13,2023,46,48,0.25095634929903626,0.005
2023-11-20,2023,47,17,0.22930716304944992,0.005
2023-11-27,2023,48,23,-0.010136630280959026,0.87
2024-08-12,2024,33,5,0.04437546144350052,0.325
2024-08-26,2024,35,14,0.1947637212450376,0.005
2024-09-02,2024,36,40,0.21363649536569956,0.005
2024-09-09,2024,37,94,0.22296924539754687,0.005
2024-09-16,2024,38,215,0.3299035774660017,0.005
2024-09-23,2024,39,415,0.4065049094669925,0.005
2024-09-30,2024,40,647,0.3871039795518862,0.005
2024-10-07,2024,41,660,0.3975101887732817,0.005
2024-10-14,2024,42,567,0.35669795141867333,0.005
2024-10-21,2024,43,607,0.44147279862296535,0.005
2024-10-28,2024,44,718,0.438395581947593,0.005
2024-11-04,2024,45,485,0.4525240698302349,0.005
2024-11-11,2024,46,318,0.4022068042861083,0.005
2024-11-18,2024,47,160,0.2853333449800877,0.01
2024-11-25,2024,48,55,0.3750749280869979,0.005
2024-12-02,2024,49,21,0.05828465392639167,0.345
2024-12-09,2024,50,9,-0.026565464895635688,0.655
